longitude,latitude,price
-87.65016,41.93425,159
-87.7002,41.92192,50
-87.69993,41.9212,50
-87.67712,41.91735,99
-87.57856,41.72077,150
-87.64778,41.942,110
-87.67713,41.90738,125
-87.66798,41.97095,499
-87.64956,41.91221,105
-87.6619,41.99267,320
-87.69758,41.90931,60
-87.6884,41.90793,55
-87.63408,41.90231,59
-87.69924,41.96535,105
-87.68787,41.94691,147
-87.61659,41.809,135
-87.60769,41.68906,50
-87.66606,42.01447,95
-87.68851,41.91832,40
-87.66695,41.97085,999
-87.63925,41.73415,56
-87.66709,41.98998,80
-87.62442,41.89316,250
-87.68851,41.91832,35
-87.65888,41.89494,90
-87.69244,41.89998,75
-87.67817,41.92149,150
-87.6779,41.91858,125
-87.67943,41.90368,85
-87.67953,41.90436,74
-87.68498,41.89405,59
-87.68574,41.89329,79
-87.68241,41.88945,200
-87.69332,41.90036,150
-87.59735,41.79718,65
-87.65888,41.86754,110
-87.67691,41.90978,50
-87.67591,41.9106,48
-87.66601,41.89523,190
-87.68124,41.89883,159
-87.70853,41.92681,160
-87.58927,41.7981,39
-87.69005,41.92021,88
-87.68063,42.0151,45
-87.57248,41.7645,30
-87.65216,41.91644,148
-87.7066,41.90091,100
-87.70329,41.94729,34
-87.66214,41.92182,275
-87.66186,41.92052,148
-87.69999,41.89631,89
-87.67336,41.89807,275
-87.57215,41.76469,30
-87.57232,41.76264,30
-87.67537,41.89541,80
-87.65888,41.94706,174
-87.71325,41.92845,500
-87.67689,41.909,105
-87.65851,41.96834,71
-87.68075,41.89403,50
-87.65052,41.91926,210
-87.64175,41.92182,250
-87.69096,41.91925,199
-87.65292,41.94271,79
-87.69617,41.8529,45
-87.62658,41.89068,300
-87.71656,41.92046,35
-87.69831,41.85284,45
-87.69619,41.85418,62
-87.62933,41.90122,145
-87.67335,41.90138,175
-87.65334,41.91727,56
-87.61231,41.81214,99
-87.72131,41.87478,95
-87.65234,41.9425,1232
-87.7066,41.88675,55
-87.65258,41.91829,85
-87.68012,41.88918,200
-87.65781,41.94084,79
